country,iso3,merge_note,total_listed,n_selected,n_bib_gourmand,n_one_star,n_two_star,n_three_star,n_total_starred,weighted_stars,pct_starred,pct_upper_tier,pct_bib_gourmand,n_green_star,n_cities_covered,pct_pricing_affordable,pct_pricing_mid_range,pct_pricing_premium,pct_pricing_luxury,median_price_floor_usd_all,median_price_floor_usd_starred,top_cuisine_starred,gdp_per_capita_usd_2022,gdp_per_capita_usd_2023,gdp_per_capita_usd_2024,gdp_source,urban_pct_2022,urban_pct_2023,urban_pct_2024,urban_source,tourism_2022,tourism_2023,tourism_2024,tourism_confidence,tourism_source,restaurant_count,restaurant_count_year,restaurant_confidence,restaurant_nace_equiv,restaurant_source,star_density_per_100k_restaurants,stars_per_million_tourists,stars_per_10k_gdp
Germany,DEU,,1230,746,152,274,46,12,332,402,26.9919,17.4699,12.3577,0,591,2.1951,38.5366,30.8943,28.374,69.27,115.45,Modern Cuisine,50506.52,54776.77,56103.73,World Bank WDI (NY.GDP.PCAP.CD),81.7868,81.9034,82.0211,World Bank WDI (SP.URB.TOTL.IN.ZS),28500000.0,34800000,37500000.0,HIGH,UNWTO / national tourism authorities,140370,2023,HIGH,NACE_56.1_exact,Eurostat NACE 56.1 / national equivalents,236.5178,9.5402,60.6096
Greece,GRC,,35,17,6,11,1,0,12,13,34.2857,8.3333,17.1429,0,1,5.7143,31.4286,34.2857,28.5714,69.27,115.45,Modern Cuisine,20886.52,23343.71,24626.15,World Bank WDI (NY.GDP.PCAP.CD),78.5502,78.7746,78.9968,World Bank WDI (SP.URB.TOTL.IN.ZS),27800000.0,32700000,36000000.0,HIGH,UNWTO / national tourism authorities,70000,2022,MEDIUM,NACE_56.1_approx,Eurostat NACE 56.1 / national equivalents,17.1429,0.367,5.1406
Hong Kong + Macao,HKG,Hong Kong + Macao combined (tourism/restaurant counts summed; GDP/urban from Hong Kong SAR),276,107,75,68,17,9,94,129,34.058,27.6596,27.1739,0,2,19.5652,37.3188,26.8116,16.3043,12.76,102.11,Cantonese,48825.84,50562.36,54074.69,World Bank WDI (NY.GDP.PCAP.CD),100.0,100.0,100.0,World Bank WDI (SP.URB.TOTL.IN.ZS),6300000.0,62200000,79900000.0,HIGH,UNWTO / national tourism authorities,19000,2022,LOW,NACE_56.1_equivalent,Eurostat NACE 56.1 / national equivalents,494.7368,1.5113,18.5909
Hungary,HUN,,77,54,13,8,2,0,10,12,12.987,20.0,16.8831,0,34,3.8961,50.6494,22.0779,23.3766,23.53,88.24,Modern Cuisine,18428.03,22230.63,23292.33,World Bank WDI (NY.GDP.PCAP.CD),70.1585,70.2923,70.4918,World Bank WDI (SP.URB.TOTL.IN.ZS),12500000.0,15000000,17000000.0,MEDIUM,UNWTO / national tourism authorities,25000,2022,MEDIUM,NACE_56.1_approx,Eurostat NACE 56.1 / national equivalents,40.0,0.6667,4.4983
Iceland,ISL,,8,5,0,3,0,0,3,3,37.5,0.0,0.0,0,2,0.0,0.0,50.0,50.0,11.57,14.46,Creative,76350.46,82138.79,86040.53,World Bank WDI (NY.GDP.PCAP.CD),94.1787,94.1518,94.1819,World Bank WDI (SP.URB.TOTL.IN.ZS),1900000.0,2300000,2600000.0,MEDIUM,UNWTO / national tourism authorities,1500,2023,LOW,NACE_56.1_approx,Eurostat NACE 56.1 / national equivalents,200.0,1.3043,0.3652
Ireland,IRL,,109,67,19,18,5,0,23,28,21.1009,21.7391,17.4312,0,50,0.0,41.2844,30.2752,28.4404,69.27,115.45,Modern Cuisine,105190.69,106818.92,112894.95,World Bank WDI (NY.GDP.PCAP.CD),63.892,64.1152,64.347,World Bank WDI (SP.URB.TOTL.IN.ZS),9000000.0,10500000,11500000.0,MEDIUM,UNWTO / national tourism authorities,18000,2022,MEDIUM,NACE_56.1_approx,Eurostat NACE 56.1 / national equivalents,127.7778,2.1905,2.1532
Italy,ITA,,1978,1333,255,337,38,15,390,458,19.7169,13.5897,12.8918,0,1122,6.8756,44.7927,30.3337,17.998,40.41,115.45,Creative,35653.9,39277.08,40385.34,World Bank WDI (NY.GDP.PCAP.CD),69.484,69.5382,69.6048,World Bank WDI (SP.URB.TOTL.IN.ZS),49800000.0,57200000,57800000.0,HIGH,UNWTO / national tourism authorities,155560,2023,HIGH,NACE_56.1_exact,Eurostat NACE 56.1 / national equivalents,250.7071,6.8182,99.2946
Japan,JPN,,1105,521,234,273,57,20,350,447,31.6742,22.0,21.1765,0,4,8.5068,20.905,53.7557,16.8326,62.86,62.86,Japanese,34065.64,33836.18,32487.08,World Bank WDI (NY.GDP.PCAP.CD),91.9777,92.0827,92.1902,World Bank WDI (SP.URB.TOTL.IN.ZS),3800000.0,25100000,36900000.0,HIGH,UNWTO / national tourism authorities,935350,2023,MEDIUM,NACE_56.1_equivalent,Eurostat NACE 56.1 / national equivalents,37.4191,13.9442,103.4396
Latvia,LVA,,31,24,5,2,0,0,2,2,6.4516,0.0,16.129,0,7,3.2258,67.7419,19.3548,9.6774,40.41,115.45,Creative,20221.1,22710.26,23409.08,World Bank WDI (NY.GDP.PCAP.CD),68.257,68.3586,68.4839,World Bank WDI (SP.URB.TOTL.IN.ZS),2000000.0,2500000,2800000.0,MEDIUM,UNWTO / national tourism authorities,4000,2022,MEDIUM,NACE_56.1_approx,Eurostat NACE 56.1 / national equivalents,50.0,0.8,0.8807
Lithuania,LTU,,36,25,8,3,0,0,3,3,8.3333,0.0,22.2222,0,5,8.3333,38.8889,41.6667,11.1111,69.27,115.45,Modern Cuisine,25085.78,27786.01,29384.02,World Bank WDI (NY.GDP.PCAP.CD),68.2866,68.5755,68.8286,World Bank WDI (SP.URB.TOTL.IN.ZS),4725000.0,5500000,6000000.0,MEDIUM,UNWTO / national tourism authorities,6500,2023,MEDIUM,NACE_56.1_approx,Eurostat NACE 56.1 / national equivalents,46.1538,0.5455,1.0797
Luxembourg,LUX,,46,32,3,9,2,0,11,13,23.913,18.1818,6.5217,0,25,0.0,30.4348,47.8261,21.7391,69.27,115.45,Italian,123719.66,133230.62,137781.68,World Bank WDI (NY.GDP.PCAP.CD),94.7605,94.8015,94.8439,World Bank WDI (SP.URB.TOTL.IN.ZS),1013000.0,1200000,1300000.0,MEDIUM,UNWTO / national tourism authorities,2500,2022,MEDIUM,NACE_56.1_approx,Eurostat NACE 56.1 / national equivalents,440.0,9.1667,0.8256
Malaysia,MYS,,149,83,57,8,1,0,9,10,6.0403,11.1111,38.255,0,3,34.8993,30.8725,24.8322,9.396,10.15,50.77,Malaysian,11754.57,11386.04,11874.43,World Bank WDI (NY.GDP.PCAP.CD),75.9741,76.4435,76.917,World Bank WDI (SP.URB.TOTL.IN.ZS),10100000.0,20100000,25000000.0,HIGH,UNWTO / national tourism authorities,120000,2022,LOW,NACE_56.1_equivalent,Eurostat NACE 56.1 / national equivalents,7.5,0.4478,7.9044
Malta,MLT,,48,36,5,6,1,0,7,8,14.5833,14.2857,10.4167,0,20,2.0833,62.5,29.1667,6.25,40.41,69.27,Modern Cuisine,35638.89,40905.81,43898.58,World Bank WDI (NY.GDP.PCAP.CD),95.6003,95.6272,95.6546,World Bank WDI (SP.URB.TOTL.IN.ZS),2776000.0,3300000,3700000.0,MEDIUM,UNWTO / national tourism authorities,2500,2022,MEDIUM,NACE_56.1_approx,Eurostat NACE 56.1 / national equivalents,280.0,2.1212,1.7112
Mexico,MEX,,180,107,50,21,2,0,23,25,12.7778,8.6957,27.7778,0,28,21.6667,42.2222,15.0,21.1111,2.24,33.55,Mexican,11405.79,13860.96,14185.78,World Bank WDI (NY.GDP.PCAP.CD),79.1997,79.4735,79.7539,World Bank WDI (SP.URB.TOTL.IN.ZS),38300000.0,42200000,45000000.0,HIGH,UNWTO / national tourism authorities,300000,2022,LOW,NACE_56.1_equivalent,Eurostat NACE 56.1 / national equivalents,7.6667,0.545,16.5934
Netherlands,NLD,,495,302,76,96,20,1,117,139,23.6364,17.9487,15.3535,0,217,0.8081,35.1515,47.6768,16.3636,69.27,115.45,Creative,59123.32,63515.6,67520.42,World Bank WDI (NY.GDP.PCAP.CD),94.9856,95.3222,95.6397,World Bank WDI (SP.URB.TOTL.IN.ZS),16100000.0,20300000,21200000.0,HIGH,UNWTO / national tourism authorities,36000,2023,MEDIUM,NACE_56.1_approx,Eurostat NACE 56.1 / national equivalents,325.0,5.7635,18.4207
Norway,NOR,,50,25,4,18,1,2,21,26,42.0,14.2857,8.0,0,7,6.0,32.0,20.0,42.0,104.55,156.83,Modern Cuisine,109269.52,87497.22,86785.43,World Bank WDI (NY.GDP.PCAP.CD),82.9564,83.0719,83.3294,World Bank WDI (SP.URB.TOTL.IN.ZS),5000000.0,6200000,7000000.0,MEDIUM,UNWTO / national tourism authorities,15000,2022,MEDIUM,NACE_56.1_equivalent,Eurostat NACE 56.1 / national equivalents,140.0,3.3871,2.4001
Poland,POL,,107,79,21,6,1,0,7,8,6.5421,14.2857,19.6262,0,12,13.0841,54.2056,19.6262,13.0841,37.81,108.02,Modern Cuisine,18891.21,22145.27,25103.57,World Bank WDI (NY.GDP.PCAP.CD),59.8315,59.886,59.9705,World Bank WDI (SP.URB.TOTL.IN.ZS),18000000.0,22000000,25000000.0,MEDIUM,UNWTO / national tourism authorities,65000,2022,MEDIUM,NACE_56.1_approx,Eurostat NACE 56.1 / national equivalents,10.7692,0.3182,3.1609
Portugal,PRT,,210,131,26,44,9,0,53,62,25.2381,16.9811,12.381,0,77,6.1905,41.9048,28.0952,23.8095,69.27,115.45,Modern Cuisine,24620.52,27634.62,29292.24,World Bank WDI (NY.GDP.PCAP.CD),61.1259,61.2049,61.3282,World Bank WDI (SP.URB.TOTL.IN.ZS),22200000.0,26500000,29000000.0,HIGH,UNWTO / national tourism authorities,38000,2022,MEDIUM,NACE_56.1_approx,Eurostat NACE 56.1 / national equivalents,139.4737,2.0,19.1788
Qatar,QAT,,44,33,8,3,0,0,3,3,6.8182,0.0,18.1818,0,1,9.0909,22.7273,38.6364,29.5455,68.38,95.74,Italian,88701.47,81816.98,76688.69,World Bank WDI (NY.GDP.PCAP.CD),99.244,99.2835,99.322,World Bank WDI (SP.URB.TOTL.IN.ZS),2560000.0,3900000,4500000.0,MEDIUM,UNWTO / national tourism authorities,4000,2022,LOW,NACE_56.1_equivalent,Eurostat NACE 56.1 / national equivalents,75.0,0.7692,0.3667
Saudi Arabia,SAU,,51,40,11,0,0,0,0,0,0.0,0.0,21.5686,0,3,17.6471,31.3725,21.5686,29.4118,66.67,,,38510.23,36156.85,35121.66,World Bank WDI (NY.GDP.PCAP.CD),84.1349,84.2962,84.4554,World Bank WDI (SP.URB.TOTL.IN.ZS),16600000.0,27000000,29700000.0,HIGH,UNWTO / national tourism authorities,50000,2023,LOW,NACE_56.1_equivalent,Eurostat NACE 56.1 / national equivalents,0.0,0.0,0.0
Serbia,SRB,,25,20,3,2,0,0,2,2,8.0,0.0,12.0,0,2,16.0,68.0,4.0,12.0,24.58,78.66,Modern Cuisine,10024.82,12281.71,13679.21,World Bank WDI (NY.GDP.PCAP.CD),61.9014,62.1435,62.383,World Bank WDI (SP.URB.TOTL.IN.ZS),1773000.0,2500000,3000000.0,MEDIUM,UNWTO / national tourism authorities,15000,2022,LOW,NACE_56.1_equivalent,Eurostat NACE 56.1 / national equivalents,13.3333,0.8,1.6284
Singapore,SGP,,292,165,89,28,7,3,38,51,13.0137,26.3158,30.4795,0,1,53.7671,26.0274,12.6712,7.5342,0.0,117.07,Innovative,90299.07,85412.23,90674.07,World Bank WDI (NY.GDP.PCAP.CD),100.0,100.0,100.0,World Bank WDI (SP.URB.TOTL.IN.ZS),6300000.0,13610000,16520000.0,HIGH,UNWTO / national tourism authorities,5560,2022,HIGH,NACE_56.1_equivalent,Eurostat NACE 56.1 / national equivalents,683.4532,2.7921,4.449
Slovenia,SVN,,70,50,11,7,1,1,9,12,12.8571,22.2222,15.7143,0,42,5.7143,48.5714,35.7143,10.0,40.41,115.45,Creative,28360.3,32660.48,34301.03,World Bank WDI (NY.GDP.PCAP.CD),55.3378,55.5379,55.7578,World Bank WDI (SP.URB.TOTL.IN.ZS),4500000.0,5500000,6200000.0,MEDIUM,UNWTO / national tourism authorities,6500,2022,MEDIUM,NACE_56.1_approx,Eurostat NACE 56.1 / national equivalents,138.4615,1.6364,2.7556
South Korea,KOR,,232,115,71,35,10,1,46,58,19.8276,23.913,30.6034,0,2,40.0862,24.1379,15.0862,20.6897,33.28,166.39,Contemporary,34822.4,35674.1,36238.64,World Bank WDI (NY.GDP.PCAP.CD),81.1625,81.1646,81.1683,World Bank WDI (SP.URB.TOTL.IN.ZS),3200000.0,11000000,16400000.0,HIGH,UNWTO / national tourism authorities,957600,2022,MEDIUM,NACE_56.1_equivalent,Eurostat NACE 56.1 / national equivalents,4.8037,4.1818,12.8945
Spain,ESP,,1278,772,202,251,37,16,304,373,23.7872,17.4342,15.8059,0,534,5.0861,46.5571,31.2207,17.1362,40.41,115.45,Creative,30319.5,33493.22,35326.77,World Bank WDI (NY.GDP.PCAP.CD),79.9549,80.1285,80.3152,World Bank WDI (SP.URB.TOTL.IN.ZS),71700000.0,85200000,93800000.0,HIGH,UNWTO / national tourism authorities,75470,2023,MEDIUM,NACE_56.1_approx,Eurostat NACE 56.1 / national equivalents,402.8091,3.5681,90.7646
Sweden,SWE,,76,41,13,17,4,1,22,28,28.9474,22.7273,17.1053,0,12,15.7895,40.7895,19.7368,23.6842,64.16,192.47,Modern Cuisine,54836.89,54950.28,57117.49,World Bank WDI (NY.GDP.PCAP.CD),88.4039,88.6312,88.856,World Bank WDI (SP.URB.TOTL.IN.ZS),6000000.0,7500000,8500000.0,MEDIUM,UNWTO / national tourism authorities,22000,2023,MEDIUM,NACE_56.1_approx,Eurostat NACE 56.1 / national equivalents,100.0,2.9333,4.0036
Switzerland,CHE,Liechtenstein merged into Switzerland (tourism/restaurant counts summed; GDP/urban from Switzerland),531,291,100,109,27,4,140,175,26.3653,22.1429,18.8324,0,263,0.565,38.7947,36.3465,24.2938,101.39,190.12,Modern Cuisine,94394.51,100623.55,103998.19,World Bank WDI (NY.GDP.PCAP.CD),84.9206,85.1854,85.4615,World Bank WDI (SP.URB.TOTL.IN.ZS),9260800.0,11115000,12125000.0,MEDIUM,UNWTO / national tourism authorities,22250,2022,MEDIUM,NACE_56.1_equivalent,Eurostat NACE 56.1 / national equivalents,629.2135,12.5956,13.9132
Taiwan,TWN,,426,230,143,43,7,3,53,66,12.4413,18.8679,33.5681,0,7,27.23,40.8451,16.4319,15.493,9.37,124.99,Taiwanese,32909.32,32336.5,34059.67,IMF World Economic Outlook (Taiwan Province of China),,80.1,,CIA World Factbook / UN DESA 2023,6486951.0,7857686,,HIGH,UNWTO / national tourism authorities,130000,2022,MEDIUM,NACE_56.1_equivalent,Eurostat NACE 56.1 / national equivalents,40.7692,6.745,16.3901
Thailand,THA,,466,286,137,33,8,2,43,55,9.2275,23.2558,29.3991,0,17,27.2532,45.279,14.8069,12.6609,9.12,121.64,Thai contemporary,6909.35,7195.1,7346.62,World Bank WDI (NY.GDP.PCAP.CD),59.7424,60.9342,61.8689,World Bank WDI (SP.URB.TOTL.IN.ZS),11200000.0,28200000,35500000.0,HIGH,UNWTO / national tourism authorities,300000,2022,LOW,NACE_56.1_equivalent,Eurostat NACE 56.1 / national equivalents,14.3333,1.5248,59.7629
The Philippines,PHL,,108,74,25,8,1,0,9,10,8.3333,11.1111,23.1481,0,11,10.1852,44.4444,27.7778,17.5926,13.34,83.37,Filipino,3548.07,3804.08,3984.83,World Bank WDI (NY.GDP.PCAP.CD),54.7902,55.1243,55.4521,World Bank WDI (SP.URB.TOTL.IN.ZS),2654000.0,5450000,7000000.0,MEDIUM,UNWTO / national tourism authorities,100000,2022,LOW,NACE_56.1_equivalent,Eurostat NACE 56.1 / national equivalents,9.0,1.6514,23.6588
Türkiye,TUR,,169,114,38,15,2,0,17,19,10.0592,11.7647,22.4852,0,10,13.6095,37.8698,32.5444,15.9763,27.08,90.26,Modern Cuisine,10674.0,13109.0,15028.0,World Bank WDI (NY.GDP.PCAP.CD) — hardcoded from WB country pages (missing from batch pull),77.26,77.52,77.77,World Bank WDI (SP.URB.TOTL.IN.ZS) — hardcoded from WB country pages,50500000.0,55200000,60600000.0,HIGH,UNWTO / national tourism authorities,150000,2022,LOW,NACE_56.1_equivalent,Eurostat NACE 56.1 / national equivalents,11.3333,0.308,12.9682
UAE,ARE,,173,121,30,17,3,2,22,29,12.7168,22.7273,17.341,0,2,8.6705,26.0116,23.6994,41.6185,68.07,95.3,Modern Cuisine,50759.76,49850.69,50273.51,World Bank WDI (NY.GDP.PCAP.CD),85.5147,85.6681,85.8171,World Bank WDI (SP.URB.TOTL.IN.ZS),14360000.0,17150000,18720000.0,HIGH,UNWTO / national tourism authorities,18000,2022,LOW,NACE_56.1_equivalent,Eurostat NACE 56.1 / national equivalents,122.2222,1.2828,4.4132
USA,USA,,1749,1043,430,222,40,14,276,344,15.7804,19.5652,24.5855,0,244,6.5752,35.0486,29.2167,29.1595,50.0,75.0,Contemporary,76657.25,81032.26,84534.04,World Bank WDI (NY.GDP.PCAP.CD),80.0325,80.0716,80.1248,World Bank WDI (SP.URB.TOTL.IN.ZS),50900000.0,66500000,72400000.0,HIGH,UNWTO / national tourism authorities,500000,2023,MEDIUM,NACE_56.1_equivalent,Eurostat NACE 56.1 / national equivalents,55.2,4.1504,34.0605
United Kingdom,GBR,,1095,741,149,172,23,10,205,248,18.7215,16.0976,13.6073,0,462,1.1872,38.3562,36.1644,24.2922,66.69,120.04,Modern Cuisine,47057.04,49944.47,53246.37,World Bank WDI (NY.GDP.PCAP.CD),83.0754,83.1602,83.243,World Bank WDI (SP.URB.TOTL.IN.ZS),30700000.0,37200000,41800000.0,HIGH,UNWTO / national tourism authorities,101152,2022,HIGH,NACE_56.1_equivalent,Eurostat NACE 56.1 / national equivalents,202.6653,5.5108,41.0456
Vietnam,VNM,,180,108,63,9,0,0,9,9,5.0,0.0,35.0,0,3,46.1111,30.5556,12.7778,10.5556,15.2,91.21,Innovative,4147.7,4323.35,4717.29,World Bank WDI (NY.GDP.PCAP.CD),37.5479,38.1299,38.4901,World Bank WDI (SP.URB.TOTL.IN.ZS),3700000.0,12600000,17500000.0,HIGH,UNWTO / national tourism authorities,200000,2022,LOW,NACE_56.1_equivalent,Eurostat NACE 56.1 / national equivalents,4.5,0.7143,20.8172
